year,zipcode,type_complain
2013,10021,308
2013,10022,330
2013,10023,514
2013,10024,848
2013,10025,2447
2013,10026,1312
2013,10027,2355
2013,10028,581
2013,10029,2033
2013,10030,2049
2013,10031,3819
2013,10032,3417
2013,10033,2792
2013,10034,2369
2013,10035,1145
2013,10036,522
2013,10037,671
2013,10038,129
2013,10039,1002
2013,10040,5543
2013,10044,19
2013,10065,377
2013,10075,313
2013,10128,591
2013,10280,4
2013,10282,3
2013,10301,465
2013,10302,144
2013,10303,188
2013,10304,423
2013,10305,84
2013,10306,143
2013,10307,12
2013,10308,13
2013,10309,23
2013,10310,116
2013,10312,45
2013,10314,124
2013,10451,2088
2013,10452,5173
2013,10453,5687
2013,10454,935
2013,10455,1807
2013,10456,4082
2013,10457,4212
2013,10458,5585
2013,10459,2040
2013,10460,2641
2013,10461,1381
2013,10462,3065
2013,10463,4853
2013,10464,61
2013,10465,226
2013,10466,2152
2013,10467,6399
2013,10468,6060
2013,10469,854
2013,10470,760
2013,10471,295
2013,10472,2761
2013,10473,895
2013,10474,501
2013,10475,71
2013,10803,4
2013,11001,6
2013,11004,25
2013,11040,4
2013,11101,323
2013,11102,447
2013,11103,560
2013,11104,695
2013,11105,618
2013,11106,528
2013,11109,1
2013,11201,419
2013,11203,3005
2013,11204,968
2013,11205,484
2013,11206,1116
2013,11207,2177
2013,11208,2167
2013,11209,1234
2013,11210,1375
2013,11211,758
2013,11212,3287
2013,11213,4127
2013,11214,1383
2013,11215,873
2013,11216,2433
2013,11217,503
2013,11218,1567
2013,11219,1031
2013,11220,1295
2013,11221,2510
2013,11222,690
2013,11223,957
2013,11224,548
2013,11225,3709
2013,11226,5868
2013,11228,195
2013,11229,1032
2013,11230,1999
2013,11231,426
2013,11232,423
2013,11233,2770
2013,11234,565
2013,11235,1569
2013,11236,1012
2013,11237,1220
2013,11238,1860
2013,11239,100
2013,11249,352
2013,11354,473
2013,11355,1117
2013,11356,90
2013,11357,107
2013,11358,181
2013,11360,34
2013,11361,115
2013,11362,22
2013,11363,12
2013,11364,181
2013,11365,126
2013,11366,39
2013,11367,550
2013,11368,1055
2013,11369,352
2013,11370,120
2013,11372,920
2013,11373,1451
2013,11374,693
2013,11375,720
2013,11377,1166
2013,11378,227
2013,11379,178
2013,11385,1360
2013,11411,75
2013,11412,456
2013,11413,312
2013,11414,91
2013,11415,371
2013,11416,231
2013,11417,228
2013,11418,342
2013,11419,391
2013,11420,228
2013,11421,318
2013,11422,188
2013,11423,370
2013,11426,24
2013,11427,300
2013,11428,129
2013,11429,238
2013,11432,849
2013,11433,437
2013,11434,543
2013,11435,670
2013,11436,244
2013,11691,1177
2013,11692,298
2013,11693,86
2013,11694,634
2013,11697,8
2014,10001,437
2014,10002,1204
2014,10003,1120
2014,10004,17
2014,10005,9
2014,10006,8
2014,10007,32
2014,10009,1483
2014,10010,570
2014,10011,893
2014,10012,623
2014,10013,485
2014,10014,708
2014,10016,941
2014,10017,125
2014,10018,154
2014,10019,1078
2014,10021,412
2014,10022,480
2014,10023,678
2014,10024,1232
2014,10025,2521
2014,10026,1635
2014,10027,2885
2014,10028,706
2014,10029,2189
2014,10030,2087
2014,10031,4754
2014,10032,3962
2014,10033,3234
2014,10034,2570
2014,10035,1226
2014,10036,757
2014,10037,963
2014,10038,134
2014,10039,1135
2014,10040,5341
2014,10044,91
2014,10065,370
2014,10069,1
2014,10075,332
2014,10128,864
2014,10280,29
2014,10301,530
2014,10302,144
2014,10303,207
2014,10304,435
2014,10305,138
2014,10306,201
2014,10307,26
2014,10308,10
2014,10309,41
2014,10310,177
2014,10312,36
2014,10314,134
2014,10451,2709
2014,10452,4847
2014,10453,6575
2014,10454,1254
2014,10455,2034
2014,10456,5292
2014,10457,4842
2014,10458,7556
2014,10459,2296
2014,10460,3731
2014,10461,1740
2014,10462,4603
2014,10463,7365
2014,10464,21
2014,10465,335
2014,10466,3059
2014,10467,7524
2014,10468,6820
2014,10469,970
2014,10470,958
2014,10471,395
2014,10472,3618
2014,10473,1048
2014,10474,618
2014,10475,97
2014,11001,5
2014,11004,11
2014,11040,6
2014,11101,344
2014,11102,653
2014,11103,748
2014,11104,892
2014,11105,790
2014,11106,650
2014,11109,6
2014,11201,451
2014,11203,3229
2014,11204,1583
2014,11205,610
2014,11206,1365
2014,11207,2809
2014,11208,2486
2014,11209,1667
2014,11210,1560
2014,11211,914
2014,11212,4044
2014,11213,4733
2014,11214,1653
2014,11215,1075
2014,11216,2838
2014,11217,473
2014,11218,1531
2014,11219,1155
2014,11220,1646
2014,11221,2889
2014,11222,704
2014,11223,1528
2014,11224,635
2014,11225,4505
2014,11226,7606
2014,11228,191
2014,11229,1354
2014,11230,2468
2014,11231,308
2014,11232,543
2014,11233,3132
2014,11234,589
2014,11235,2004
2014,11236,1354
2014,11237,1388
2014,11238,1958
2014,11239,55
2014,11249,674
2014,11354,524
2014,11355,1131
2014,11356,141
2014,11357,134
2014,11358,230
2014,11360,67
2014,11361,66
2014,11362,16
2014,11363,42
2014,11364,161
2014,11365,154
2014,11366,50
2014,11367,584
2014,11368,1286
2014,11369,349
2014,11370,102
2014,11372,1211
2014,11373,1512
2014,11374,774
2014,11375,1298
2014,11377,1399
2014,11378,211
2014,11379,108
2014,11385,1491
2014,11411,96
2014,11412,559
2014,11413,369
2014,11414,119
2014,11415,810
2014,11416,222
2014,11417,213
2014,11418,446
2014,11419,473
2014,11420,356
2014,11421,456
2014,11422,222
2014,11423,409
2014,11426,17
2014,11427,257
2014,11428,133
2014,11429,237
2014,11430,1
2014,11432,920
2014,11433,563
2014,11434,664
2014,11435,772
2014,11436,237
2014,11691,1421
2014,11692,228
2014,11693,127
2014,11694,290
2014,11697,3
2015,10001,270
2015,10002,900
2015,10003,789
2015,10004,1
2015,10005,5
2015,10006,5
2015,10007,6
2015,10009,1025
2015,10010,348
2015,10011,524
2015,10012,399
2015,10013,354
2015,10014,633
2015,10016,543
2015,10017,68
2015,10018,200
2015,10019,899
2015,10021,284
2015,10022,377
2015,10023,456
2015,10024,666
2015,10025,1859
2015,10026,899
2015,10027,1620
2015,10028,573
2015,10029,1679
2015,10030,1305
2015,10031,2643
2015,10032,2551
2015,10033,2254
2015,10034,1543
2015,10035,1014
2015,10036,587
2015,10037,385
2015,10038,158
2015,10039,557
2015,10040,3986
2015,10041,1
2015,10044,26
2015,10065,202
2015,10069,1
2015,10075,152
2015,10128,486
2015,10129,1
2015,10280,12
2015,10282,1
2015,10301,308
2015,10302,103
2015,10303,156
2015,10304,263
2015,10305,96
2015,10306,155
2015,10307,12
2015,10308,17
2015,10309,17
2015,10310,71
2015,10312,22
2015,10314,125
2015,10451,1604
2015,10452,2980
2015,10453,4336
2015,10454,786
2015,10455,1060
2015,10456,2962
2015,10457,3051
2015,10458,4491
2015,10459,1495
2015,10460,2052
2015,10461,936
2015,10462,2652
2015,10463,2947
2015,10464,29
2015,10465,164
2015,10466,1891
2015,10467,4839
2015,10468,4444
2015,10469,702
2015,10470,617
2015,10471,171
2015,10472,2634
2015,10473,581
2015,10474,406
2015,10475,53
2015,11001,7
2015,11004,14
2015,11040,7
2015,11101,276
2015,11102,491
2015,11103,486
2015,11104,433
2015,11105,592
2015,11106,375
2015,11201,240
2015,11203,1705
2015,11204,1129
2015,11205,1378
2015,11206,880
2015,11207,1585
2015,11208,1611
2015,11209,1480
2015,11210,1124
2015,11211,666
2015,11212,2393
2015,11213,2838
2015,11214,1030
2015,11215,533
2015,11216,1616
2015,11217,298
2015,11218,996
2015,11219,574
2015,11220,1248
2015,11221,2103
2015,11222,406
2015,11223,746
2015,11224,515
2015,11225,2597
2015,11226,4510
2015,11228,151
2015,11229,934
2015,11230,1378
2015,11231,189
2015,11232,403
2015,11233,1807
2015,11234,328
2015,11235,1059
2015,11236,711
2015,11237,907
2015,11238,1286
2015,11239,34
2015,11249,440
2015,11354,394
2015,11355,920
2015,11356,57
2015,11357,61
2015,11358,104
2015,11360,77
2015,11361,54
2015,11362,10
2015,11363,57
2015,11364,127
2015,11365,58
2015,11366,35
2015,11367,291
2015,11368,1016
2015,11369,213
2015,11370,65
2015,11372,931
2015,11373,1087
2015,11374,804
2015,11375,719
2015,11377,1265
2015,11378,174
2015,11379,84
2015,11385,775
2015,11411,61
2015,11412,252
2015,11413,174
2015,11414,108
2015,11415,351
2015,11416,111
2015,11417,94
2015,11418,241
2015,11419,290
2015,11420,240
2015,11421,229
2015,11422,152
2015,11423,263
2015,11426,7
2015,11427,112
2015,11428,82
2015,11429,99
2015,11432,636
2015,11433,407
2015,11434,503
2015,11435,451
2015,11436,75
2015,11691,1055
2015,11692,134
2015,11693,78
2015,11694,483
2015,11697,15
